Date Created,Tweet
2022-12-09 04:46:49+00:00,Transformasi berkelanjutan yang konsisten diterapkan PT BBRI (Persero) #Tbk menjd pendorong utama kinerja positif perseroan pd kuartal III-2022.Hal ini tdk lepas dr cetak biru BRIvolution 2.0 yg diterapkan sjk awal pandemi. #TransformasiBRI127 #BRIROMakassar #BRIKCTamalanrea
2022-12-09 04:00:01+00:00,#BBRI - BBRI testing support - TradingView - https://t.co/xudONLGwIc
2022-12-09 02:10:28+00:00,"$BBRI
» ARea EMA 20 masih jadi support
» Tiga garis EMA masih rapi
» Strateginya,
BUY IF BREAK 4840 - CL &lt; 4710 - Resisen 5025 https://t.co/hYs8WtpPMp"
2022-12-08 12:33:31+00:00,"PT Bank Rakyat Indonesia Tbk (BBRI) terus melanjutkan program ""BRI Menanam"" sebagai wujud peduli lingkungan serta pengembangan dan pemberdayaan masyarakat, khususnya pelaku UMKM.
#TransformasiBRI"
2022-12-08 09:30:48+00:00,"StockPick 09 Desember 2022
(https://t.co/dTuOE139xh)
(https://t.co/oZNjQjTDNp)

BBRI » BUY IF BREAK 4840 » CL BELOW 4690 » RES 5025
BIPI » BUY IF BREAK 186 » CL BELOW 169 » RES 234   
BIRD » BUY IF BREAK 1550 » CL BELOW 1500 » RES 1670
PNIN » BUY IF BREA… https://t.co/WVAAA2fD0A"
2022-12-08 09:07:07+00:00,#youtube REKOMENDASI SAHAM HARIAN 09 DESEMBER 2022 ||BBRI BIPI BIRD PNIN PWON TOWR || CUAN COMMUNITY https://t.co/JNoezCX56N
2022-12-08 08:30:48+00:00,$BBRI » BUY IF BREAK 4840 » CL BELOW 4690 » RES 5025 https://t.co/lir8rcVO3h
2022-12-08 08:05:17+00:00,$BBRI » Buy @4840 https://t.co/f1vLXPjJAB
2022-12-08 08:05:04+00:00,$BBRI » But @4840 https://t.co/UjmZBCVWqE
2022-12-08 06:57:19+00:00,"PT Bank Rakyat Indonesia Tbk (BBRI) terus melanjutkan program ""BRI Menanam"" sebagai wujud peduli lingkungan serta pengembangan dan pemberdayaan masyarakat, khususnya pelaku UMKM #TransformasiBRI"
2022-12-08 06:44:08+00:00,"$BBRI » saham yg ditunggu-tunggu koreksinya.
Boleh beli.... https://t.co/3Wrt0AwGY0"
2022-12-08 05:06:58+00:00,"Akses UMKM ke Perbankan Baru 20%, Ternyata Ini Alasannya!

Watchlist : BBRI, BMRI, BBTN, BBKP, BBCA, MEGA, ARTO, BTPN, BJBR, BJTM, AGRO

Source : https://t.co/YeELdt2GIu"
2022-12-08 02:59:40+00:00,$BBRI terbukti koreksi per 10.00 WIB 08/12/22 tercatat diharga 4.720 kemungkinan berlanjut hingga di harga 4.500-4.680 dan terparah hingga 4.360 perlembar https://t.co/2zh49qyHeF https://t.co/ldMKuagjev
2022-12-08 02:19:00+00:00,"$BBRI Update
» Test area EMA 20
» Tiga garis EMA masih rapi
» RSI masih di atas 50

Bagi yang lagi incer BBRI, dipantau ya. Sementara candlenya masih LH+LL https://t.co/9PXxEKdivB"
2022-12-07 16:59:11+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) mengapresiasi langkah Otoritas Jasa Keuangan (OJK) 
#KinerjaBRIQ3"
2022-12-07 16:06:21+00:00,"Berkat kenaikan laba ini, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3

Gimana menurut kalian? keren kan?"
2022-12-07 15:43:40+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. #KinerjaBRIQ3 

Wah, keren sekali loh... yuk kita bahas lagi"
2022-12-07 15:29:55+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) membukukan laba bersih Rp39,31 triliun pada tahun ini (sampai 30 september 2022) #KinerjaBRIQ3"
2022-12-07 15:04:56+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba
bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan
30 September 2022. #KinerjaBRIQ3"
2022-12-07 14:52:57+00:00,"Ternyata, PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) telah berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Ini tuh keren banget #KinerjaBRIQ3"
2022-12-07 14:41:50+00:00,"Ini dia PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren! #KinerjaBRIQ3"
2022-12-07 14:26:10+00:00,"FYI niiih.. PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren. #KinerjaBRIQ3"
2022-12-07 14:24:16+00:00,"Bank BRI sangat keren , PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren. #KinerjaBRIQ3"
2022-12-07 14:08:57+00:00,"Tau ngga kalian, kalau PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren yaa ✨

#KinerjaBRIQ3"
2022-12-07 14:06:20+00:00,"2

PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, keren. #KinerjaBRIQ3"
2022-12-07 14:03:44+00:00,"Total aset per September 2022 berasal dari liabilitas Rp 1.384,26 triliun dan ekuitas Rp 300,33 miliar. Total kas dan setara kas BBRI mencapai Rp 161,15 triliun per September 2022, menurun dari sebelumnya Rp 162,56 triliun per September 2021. #KinerjaBRIQ3"
2022-12-07 14:03:43+00:00,"Total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 14:03:41+00:00,"Mengutip laporan keuangan yang dipublikasikan, laba BBRI melesat 103,34% secara tahunan (year-on-year/yoy) dari periode yang sama tahun 2021 sebesar Rp 19,25 triliun. #KinerjaBRIQ3"
2022-12-07 14:03:41+00:00,"Emiten bank pelat merah PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow banyak banget yaaa. 
#KinerjaBRIQ3"
2022-12-07 13:54:33+00:00,"Berkat kenaikan laba ini, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 13:53:33+00:00,"IHSG Masih Rawan Koreksi Besok, Cek Saham BBRI, BBNI hingga TLKM https://t.co/o2htPluLvg"
2022-12-07 13:52:34+00:00,"Yups..! PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp 39,31 triliun sampai dengan 30 September 2022. 👍 #KinerjaBRIQ3"
2022-12-07 13:52:13+00:00,"Berkat kenaikan laba ini, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun menjadi Rp1.684,6 triliun. BRI menargetkan capaian laba bersih tahun 2022 setidaknya tak kurang dari Rp 40 triliun. Kita doakan saja semoga dapet mencapai ya 
#KinerjaBRIQ3"
2022-12-07 13:50:30+00:00,"Berkat kenaikan laba, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 13:48:50+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun berjalan secara konsolidasian. Laba BRI melesat 103,34% secara tahunan (year-on-year) dari Rp 19,25 triliun menjadi Rp 39,31 triliun. 
#KinerjaBRIQ3"
2022-12-07 13:47:52+00:00,"Karena kenaikan laba tersebut, total aset yang dimiliki BBRI secara konsolidasi naik dari Rp1.678,09 triliun pada posisi 31 Desember 2021 menjadi Rp1.684,6 triliun hingga akhir September 2022. #KinerjaBRIQ3"
2022-12-07 13:23:00+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) berhasil membukukan laba bersih tahun  sebesar Rp 39,31 triliun sampai dengan 30 September 2022. Wow, super .👍 #KinerjaBRIQ3"
2022-12-05 02:46:53+00:00,Bbri bulan lalu gua jual semua eh skrg nilainya tertinggi since sebelum masehi 🤌🏽🥹 https://t.co/NNLwt3SMBP
2022-12-04 14:28:25+00:00,"BBRI tetap andalan, sempat masuk MTEL tp sdh cabut, krn fokus dulu di BBRI, CTRA blm dulu yaaaa next trip kali😝😝😝"
2022-11-30 04:08:22+00:00,Jangan bayangkan/ngejar untung dulu (dlm jumlah banyak) padahal bisa buntung lebih baik dapatnya sedikit2 saja dengan risiko yg terkendali@setia dg BBRI
2022-11-28 14:21:01+00:00,BBRI yg msh ngegasss besok lanjut kah
2022-11-28 09:44:31+00:00,menyesal ya ampun lepas bbri terlalu dini 😂😂
2022-11-27 13:28:42+00:00,Masih nungguin goyanganmu minggu depan CTRA@MTEL@BBRI
2022-11-24 07:47:31+00:00,Gaes kesabaran ada hasilnya kejual BBRI kuh sesuai keinginan setelah nahan godaan sekian bulan@bodo amat besok masih naik lagi@yg jelas lulus ujian menahan hijau tdk dijual kecepetan@yesssss
2022-11-18 13:18:44+00:00,"Dijual BBRI kemarin, nunggu 1 nya lagi semoga bisa kejual mg depan"
2022-11-11 05:05:22+00:00,"Ciamik selalu $BBRI 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/H4LAWwnl6K"
2022-11-09 09:47:45+00:00,"$BBRI Full Gaspoll 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/SeGaG6HHzW"
2022-11-08 16:18:46+00:00,"SCMA sdh cabut, sisa BBRI dan EMTK tinggal nunggu panen aja"
2022-11-07 09:12:37+00:00,"$BBRI Ciamik 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/tLaNpaf18R"
2022-11-03 08:43:00+00:00,"Sumbringah $BBRI ditengah badai inflasi dunia yang menggila 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/VzMwvXYace"
2022-11-01 10:24:40+00:00,"$BBRI tetap ciamik ditengah pelemahan IHSG di awal Nov 1, 2022 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/mX7rJLAyQr"
2022-10-31 05:02:24+00:00,"Akhir bulan Okt 31, 2022 sesi 1 penutupan IHSG $BBCA, $BBRI &amp; $INDY Sumbringah 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/vlDPnw5tob"
2022-10-28 11:48:27+00:00,"$BBRI ciamik penutupan akhir pekan 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/gygxN0IVnv"
2022-10-27 09:13:31+00:00,"$BBRI Ciamik 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/2Lwc3Kg1n7"
2022-10-27 04:50:22+00:00,"Sesi 1 penutupan IHSG jam 11.30 Wib on 27 Oct 2022 l, $INDY, $BBCA &amp; $BBRI sumbringah 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/sJxPsrBxhw"
2022-10-25 09:13:30+00:00,"Ciamik......$BBRI 💪💪💪🤎🤎🤎

@ajaib_investasi https://t.co/4700c9N97R"
2022-10-25 04:54:30+00:00,"Rebound again $BBRI 💪💪💪🔥🔥🔥

@ajaib_investasi https://t.co/4RibKBvakS"
2022-10-14 14:34:00+00:00,Punya barang koleksi BBRI SCMA EMTK dan NPGF nyungsep mua@🤪🤪🤪🤪BBRI nunggu dibawah 4000 aja@EMTK nunggu di 1000-1250@🤩🤩🤩🤩 SCMA bisa ke 150 gak yaaa@NPGF tinggal nunggu dijual doang😛😛😛😛
2022-10-14 09:27:51+00:00,"Gua sih nunggu AMRT, INCO, BBRI, dan ADRO ikutan crash aja nih, mau nyerok yang banyak. 😌"
2022-10-13 14:18:55+00:00,"@Saham_fess BBRI dibilang suram, avg 3600 nyimak 😌"
2022-10-04 10:02:30+00:00,"Strong Bullish $BBRI 🔥🔥🔥💪💪💪

@ajaib_investasi https://t.co/THP9DCTKqx"
2022-09-19 09:00:42+00:00,"Full gaspoll $BBRI 🔥🔥🔥💪💪💪

@ajaib_investasi https://t.co/BNe6b3IUN5"
2022-09-17 17:56:08+00:00,@Saham_fess MAN IM ALL IN BBRI
2022-09-15 11:11:44+00:00,"Gaspoll $BBRI 🔥🔥🔥💪💪💪

@ajaib_investasi https://t.co/xpAX7gL3aZ"
2022-09-14 04:38:26+00:00,"@Saham_fess BBRI beli kalo retest aja di 4400, TLKM udah mayan tinggi harganya"
2022-09-14 03:10:23+00:00,"Rasanya umur segini itu akan menyenangkan kalo punya tabungan Saham LQ45 dibeberapa sektor perbankan, retail, properti, pertambangan. Masing” 2 emiten, per emiten 100 Lot. Ky MYOR,AMRT,UNVR,WSKT,BBRI,BBCA dsb. Berasa masa muda gak sia-sia kali ygy..😅😅😅😂"
